account_id,account_holder1,addr1,addr2,addr3,addr4,postcode,propref,vo_propdescrip,liable_from,current_rv,sbrr,retail
7.1191509E7,ALSBRIDGE LTD                   ,SUITE 2                            ,195 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7AG ,1.1026019504E10,OFFICES AND PREMISES                                        ,2014-04-07T00:00:00Z,10000.0,      ,      
7.1191509E7,ALSBRIDGE LTD                   ,SUITE 2                            ,195 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7AG ,1.1026019504E10,OFFICES AND PREMISES                                        ,2014-04-07T00:00:00Z,10000.0,      ,      
7.1191509E7,ALSBRIDGE LTD                   ,SUITE 2                            ,195 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7AG ,1.1026019504E10,OFFICES AND PREMISES                                        ,2014-04-07T00:00:00Z,10000.0,      ,      
7.0958401E7,CLEAR CHANNEL  UK LTD[SITE 0036],ADSHEL (4102/0036)                 ,196 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7BY ,1.1026019601E10,ADVERTISING RIGHT                                           ,1997-10-29T00:00:00Z,600.0,      ,      
7.0958401E7,CLEAR CHANNEL  UK LTD[SITE 0036],ADSHEL (4102/0036)                 ,196 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7BY ,1.1026019601E10,ADVERTISING RIGHT                                           ,1997-10-29T00:00:00Z,600.0,      ,      
7.0958401E7,CLEAR CHANNEL  UK LTD[SITE 0036],ADSHEL (4102/0036)                 ,196 BANBURY ROAD                   ,OXFORD                          ,                                ,OX2 7BY ,1.1026019601E10,ADVERTISING RIGHT                                           ,1997-10-29T00:00:00Z,600.0,      ,      
7.0435551E7,TSE RESTAURANTS LTD             ,197 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7AR ,1.10260197E10,RESTAURANT AND PREMISES                                     ,1991-01-04T00:00:00Z,57500.0,      ,Y     
7.0435551E7,TSE RESTAURANTS LTD             ,197 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7AR ,1.10260197E10,RESTAURANT AND PREMISES                                     ,1991-01-04T00:00:00Z,57500.0,      ,Y     
7.0435551E7,TSE RESTAURANTS LTD             ,197 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7AR ,1.10260197E10,RESTAURANT AND PREMISES                                     ,1991-01-04T00:00:00Z,57500.0,      ,Y     
7.1184236E7,BIKE ZONE OXFORD LTD            ,200-202 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7BY ,1.102602E10,SHOP AND PREMISES                                           ,2004-06-22T00:00:00Z,42500.0,      ,Y     
7.1184236E7,BIKE ZONE OXFORD LTD            ,200-202 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7BY ,1.102602E10,SHOP AND PREMISES                                           ,2004-06-22T00:00:00Z,42500.0,      ,Y     
7.1184236E7,BIKE ZONE OXFORD LTD            ,200-202 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7BY ,1.102602E10,SHOP AND PREMISES                                           ,2004-06-22T00:00:00Z,42500.0,      ,Y     
7.0014961E7,LLOYDS BANK PLC                 ,201-203 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7AG ,1.10260203E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,100000.0,      ,      
7.0014961E7,LLOYDS BANK PLC                 ,201-203 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7AG ,1.10260203E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,100000.0,      ,      
7.0014961E7,LLOYDS BANK PLC                 ,201-203 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7AG ,1.10260203E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,100000.0,      ,      
7.1185741E7,COSTA RETAIL LTD                ,205 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260205E10,SHOP AND PREMISES                                           ,2006-10-23T00:00:00Z,73000.0,      ,      
7.1185741E7,COSTA RETAIL LTD                ,205 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260205E10,SHOP AND PREMISES                                           ,2006-10-23T00:00:00Z,73000.0,      ,      
7.1185741E7,COSTA RETAIL LTD                ,205 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260205E10,SHOP AND PREMISES                                           ,2006-10-23T00:00:00Z,73000.0,      ,      
7.1183081E7,SCOTT FRASER LTD                ,205A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.1026020501E10,SHOP AND PREMISES                                           ,2002-01-11T00:00:00Z,26750.0,      ,Y     
7.1183081E7,SCOTT FRASER LTD                ,205A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.1026020501E10,SHOP AND PREMISES                                           ,2002-01-11T00:00:00Z,26750.0,      ,Y     
7.1183081E7,SCOTT FRASER LTD                ,205A BANBURY ROAD                  ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.1026020501E10,SHOP AND PREMISES                                           ,2002-01-11T00:00:00Z,26750.0,      ,Y     
7.1185854E7,GATINEAU LTD                    ,209 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260209E10,SHOP AND PREMISES                                           ,2007-02-01T00:00:00Z,36750.0,      ,Y     
7.1185854E7,GATINEAU LTD                    ,209 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260209E10,SHOP AND PREMISES                                           ,2007-02-01T00:00:00Z,36750.0,      ,Y     
7.1185854E7,GATINEAU LTD                    ,209 BANBURY ROAD                   ,OXFORD                             ,                                ,                                ,OX2 7HQ ,1.10260209E10,SHOP AND PREMISES                                           ,2007-02-01T00:00:00Z,36750.0,      ,Y     
7.0015401E7,BARCLAYS BANK PLC               ,211-213 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7HH ,1.10260211E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,111000.0,      ,      
7.0015401E7,BARCLAYS BANK PLC               ,211-213 BANBURY ROAD               ,OXFORD                             ,                                ,                                ,OX2 7HH ,1.10260211E10,BANK AND PREMISES                                           ,1991-01-04T00:00:00Z,111000.0,      ,      
